archivo,codprov,provincia,coddepto,circuito
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00001
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00002
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00003
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00004
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00005
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00006
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00007
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00008
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00009
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00010
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00011
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00012
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00013
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00014
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00015
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00016
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00017
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00018
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,001,00019
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00020
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00021
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00022
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00023
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00024
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00025
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00026
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00027
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00028
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,002,00029
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00030
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00031
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00032
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00033
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00034
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00035
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00036
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00037
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00038
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00039
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00040
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00041
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,003,00042
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00043
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00044
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00045
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00046
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00047
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00048
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00049
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00050
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00051
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00052
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00053
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00054
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00055
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00056
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,004,00057
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00058
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00059
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00060
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00061
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00062
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00063
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00064
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00065
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00066
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,005,00067
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,006,00068
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,006,00069
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,006,00070
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,006,00071
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,006,00072
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,006,00073
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,006,00074
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00075
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00076
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00077
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00078
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00079
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00080
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00081
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00082
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00083
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00084
CABA.geojson,01,Ciudad Autónoma de Buenos Aires,007,00085
